"SID","day","real_order","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried"
"10549",13,49,7,4,3,1,3,1,2,2,4,1
"10547",15,57,5,NA,4,2,5,1,1,NA,3,1
"10547",14,53,4,2,2,1,3,1,4,5,5,2
"10539",14,53,3,2,5,3,4,2,3,3,3,3
"10547",13,49,3,1,3,2,5,1,3,5,5,1
"10549",8,29,2,NA,4,3,3,1,2,NA,3,1
"10539",13,49,2,NA,3,4,5,2,2,NA,3,2
"10549",7,25,1,2,2,3,4,2,4,3,4,2
"10547",11,41,1,2,3,2,3,1,4,4,4,3
"10526",14,53,1,2,3,2,3,1,4,4,4,3
"10547",10,37,7,1,4,1,3,1,3,4,4,2
"10539",10,37,6,3,3,2,1,3,2,3,4,5
"10547",9,33,6,NA,5,1,2,2,1,NA,4,4
"10539",9,33,5,2,5,1,2,3,2,2,4,4
"10547",8,29,5,1,5,1,3,1,1,4,5,2
"10526",11,41,5,1,5,2,3,1,1,2,4,3
"10539",8,29,4,NA,3,2,3,3,2,NA,4,2
"10547",7,25,4,1,5,1,1,2,1,1,5,3
"10538",10,37,3,1,3,1,3,1,4,4,5,3
"10549",2,5,3,1,2,1,2,1,5,3,3,2
"10547",6,21,3,1,5,1,3,1,2,4,5,1
"10539",7,25,3,NA,4,2,2,4,2,NA,5,4
"10539",6,21,2,NA,3,2,3,2,3,NA,4,3
"10541",9,33,2,1,4,1,3,1,3,3,4,2
"10547",5,17,2,NA,5,1,1,3,1,NA,4,4
"10536",8,29,1,NA,5,5,4,3,1,NA,2,2
"10539",5,17,1,NA,3,3,3,4,2,NA,5,3
"10544",15,57,1,2,4,4,3,2,1,2,2,2
"10547",4,13,1,1,3,2,3,1,3,5,5,3
"10539",4,13,7,NA,5,5,4,2,1,NA,2,2
"10536",7,25,7,NA,5,5,4,2,1,NA,2,2
"10543",14,53,7,2,3,2,3,1,3,3,3,2
"10509",14,53,7,1,2,2,5,1,4,3,3,1
"10544",14,53,7,2,3,3,4,2,3,3,4,2
"10547",3,9,7,1,5,2,4,2,3,3,4,1
"10526",5,17,6,2,2,1,5,1,5,3,3,1
"10509",13,49,6,NA,2,3,5,1,4,NA,4,2
"10539",3,9,6,NA,5,5,5,2,1,NA,2,1
"10515",15,57,6,NA,3,5,5,1,1,NA,4,1
"10547",2,5,6,NA,5,2,4,1,1,NA,3,1
"10536",6,21,6,NA,5,5,4,2,1,NA,2,1
"10541",5,17,5,1,3,2,3,1,3,3,3,3
"10530",15,57,5,NA,5,4,3,1,1,NA,2,2
"10539",2,5,5,1,4,5,4,1,1,3,3,1
"10544",12,45,5,2,2,2,2,2,3,2,3,3
"10533",5,17,5,1,3,3,4,1,4,4,4,1
"10536",5,17,5,1,2,2,4,1,5,3,4,1
"10532",15,57,5,1,2,2,4,1,4,4,5,1
"10542",14,53,4,1,3,1,3,1,3,4,4,3
"10535",13,49,4,2,4,3,2,3,2,2,2,3
"10543",11,41,4,2,3,2,3,1,3,4,4,2
"10544",11,41,4,2,2,2,4,2,3,3,3,2
"10530",14,53,4,NA,5,4,4,2,1,NA,3,1
"10536",4,13,4,2,5,2,2,1,1,4,2,4
"10498",14,53,4,NA,5,3,3,1,1,NA,3,2
"10512",15,57,4,2,2,1,4,1,2,3,3,3
"10526",3,9,4,1,4,2,2,1,2,3,2,4
"10541",4,13,4,1,3,2,4,1,3,5,4,4
"10515",13,49,4,NA,4,2,2,2,1,NA,5,4
"10523",13,49,3,3,5,2,3,1,4,3,4,3
"10512",14,53,3,1,2,1,2,1,3,4,4,2
"10536",3,9,3,1,1,1,5,1,5,3,4,1
"10530",13,49,3,1,5,2,4,1,2,3,5,2
"10543",10,37,3,2,3,3,4,1,3,3,3,2
"10498",13,49,3,1,5,2,3,1,2,3,4,2
"10538",3,9,3,1,4,1,3,1,4,4,2,3
"10485",15,57,3,NA,4,3,3,1,3,NA,4,2
"10398",14,53,3,1,2,2,2,2,4,4,4,3
"10509",10,37,3,NA,5,3,2,2,2,NA,3,4
"10515",12,45,3,1,3,1,3,1,2,1,5,2
"10541",3,9,3,1,2,2,5,1,4,4,4,1
"10526",2,5,3,1,4,3,4,2,3,3,3,2
"10542",13,49,3,1,4,2,3,2,2,1,2,2
"10533",3,9,3,1,5,1,4,1,3,4,3,2
"10528",14,53,3,2,3,2,4,1,3,3,4,2
"10517",15,57,3,1,2,3,4,1,4,5,5,1
"10536",2,5,2,1,4,4,5,1,3,4,3,2
"10530",12,45,2,1,5,2,2,2,1,4,5,3
"10528",13,49,2,1,1,1,4,2,3,3,4,3
"10485",14,53,2,2,5,3,4,1,2,4,4,1
"10544",9,33,2,NA,4,2,2,2,2,NA,4,4
"10509",9,33,2,1,4,3,3,2,4,3,4,2
"10535",11,41,2,2,2,3,4,1,4,3,3,1
"10541",2,5,2,1,4,3,3,1,3,3,3,4
"10538",2,5,2,1,2,3,4,2,4,4,4,3
"10517",14,53,2,NA,5,5,4,1,1,NA,5,1
"10543",9,33,2,2,4,2,3,1,2,3,4,2
"10533",2,5,2,1,2,3,4,1,4,4,4,1
"10530",11,41,1,1,4,1,2,1,3,3,5,3
"10532",11,41,1,NA,3,2,3,1,3,NA,3,2
"10535",10,37,1,2,3,4,2,2,2,3,2,4
"10509",8,29,1,2,1,2,3,1,4,3,4,3
