"SID","day","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","day_sd","A_rude_sd","E_quiet_sd","C_lazy_sd","N_relaxed_sd","N_depressed_sd","E_outgoing_sd","A_kind_sd","C_reliable_sd","N_worried_sd"
"1",1,1,5,3,2,3,1,3,3,2,4.09971856444955,0.219264504826757,1.32988335713691,1.51382517704875,1.31046087019327,1.14466432208592,1.47609151269362,0.669864127057084,0.757864746745073,1.26059611458332
"2",1,1,3,3,5,1,2,4,4,1,3.73783741907384,0.327326835353989,1.11269728052837,0.487950036474267,0.79880863671798,0.915475416434127,0.961150104723255,0.622699849077239,0.743223352957207,0.975900072948533
"4",1,1,3,3,4,2,2,4,4,1,4.49192824462265,0.803219328902499,1.26363530876135,1.09064940701962,1.09064940701962,1.14828062210279,1.34965646764099,0.754120500973188,1.04726987617729,1.10533894962061
"6",1,1,2.99962547617505,3,3,1,3,3,5,4,4.17786374293675,0,1.13618180363404,1.29333958136573,1.12815214963553,0.981649817214043,1.04446593573419,0.577350269189626,1.00904995821903,1.32801971507819
"8",1,1,4.02279084556702,1,3,1,3,2,5,2,4.49886863606006,0,1.14420304287231,1.57755753708238,0.779401092729807,0.904988687712105,1.09210107875333,0.458043580425081,1.17155837225801,0.851535743331979
"11",1,1,3,2,3,1,3,3,5,3,4.10510071153581,0.188561808316413,0.994029797388005,0.875141711880434,0.875897121353739,0.314970394174356,1.16836610917955,0.848528137423857,1.23603308118261,1.05157981428901
"12",1,1,4,2,3,3,3,4,5,2,2.46857168294667,0.426614580154031,1.28002403823582,0.951112708681461,0.992277876713668,1.1896993802573,1.10731831293167,0.6,0.651625187216842,0.745241313525099
"17",1,1,5,4,5,1,3,2,5,1,4.38439517313868,0.547487634673212,1.55191998035877,1.47041639971114,1.02263003441206,0.662460525833736,1.47516122133508,1.04364449169383,0.924849129290656,0.818206523284271
"19",1,1,3,2,4,1,2,2,4,1,3.89970413078894,0.376536570386745,0.987096233585649,0.686873257446286,0.6076436202502,0.320256307610174,0.843907274041104,0.507113798099823,0.599144689515278,0.712075334533701
"35",1,2,4,3,3,2,2,4,4,2,4.28937073458349,0.408989886516436,1.45048133524569,0.924240650058619,0.852041094064145,0.745331792237176,1.52511443045236,0.351502089621476,0.698560672373569,0.939051746081217
"40",1,2,3,2,3,2,2,1,2,3,3.2385756271891,0.590132030950268,0.820908072456927,0.856513410278739,0.497350272814766,0.759367156124933,0.613450367238898,0.318973644752214,0.631702956928976,0.525763313013358
"41",1,1,3,1,4,1,3,3,5,2,4.17007107297024,0.515737001514782,1.40843730857071,1.282547284209,1.08263634211833,0.931532942621143,1.40392823632607,0.708010432393843,0.884651736929383,0.899879218948661
"47",1,1,4,2,5,1,4,3,5,1,3.55865587273529,0.205971460217775,1.09616651457157,1.0538842141141,1.03877398090211,0.714059817469728,1.25108648434245,0.592887132188878,0.674199862463242,0.764840007553312
"48",1,1,4,5,4,1,1,1,5,2,3.51717994496892,0.647239460260976,1.55505873887952,1.51802821872017,1.1770687124853,0.5280200004833,1.60635296355681,1.40430483587862,1.03185397094463,0.892516699980429
"49",1,1,2,1,2,2,2,2,2,2,3.45611586063101,0.51041778553404,0.5871429486124,0.571240570577479,0.638666373658505,0.64888568452305,0.716350399411379,0.502624689950035,0.523148363780597,0.5871429486124
"54",1,1,4,1,3,1,2,3,5,1,3.40187114287524,0.148704479128983,1.51357493732854,0.441530853904339,1.11373427728702,0.149071198499986,1.4347772853603,0.851361101305272,0.986269371281129,0.514438008555418
"57",1,1,4,2,5,1,1,2,4,2,4.34298727393236,0.659380473395787,1.04144869514316,1.61197442239681,1.00766294731156,0.514407799916938,1.44061952485194,0.795640294518113,0.948683298050514,0.919029588541841
"60",1,1,4,3,3,2,3,4,4,1,3.28650823270479,0.836419018311724,1.32359130376183,1.47966007562343,1.28658580370803,1.26206300567881,1.25075734632819,1.07200445352951,1.11123736656418,1.10354113213012
"62",1,3,2,3,2,2,4,4,3,2,3.85344039126115,0.505035373756076,1.27545310646085,1.16697187704904,0.966681402775979,0.679366220486757,1.28213674928794,0.670367595092877,0.693888666488711,0.436901809201096
"64",1,2,3,3,3,2,3,3,4,3,3.75081690448633,0.384353057392904,1.28059700872375,0.917253903620838,0.869876135997884,0.459597591947634,1.1791413535072,0.648424664440323,0.767545803007739,0.898106544580817
"68",1,1,4.98630566645395,2,4,2,1,3,5,2,3.04904957268709,0,1.46009182309474,1.05090228108783,1.09192842819834,0.85163062725264,1.32805732697661,0.615727926214882,1.01634985756236,0.892582375303981
"70",1,1,4,1,3,1,3,3,5,1,4.00826352309678,0.240192230707631,1.22173935797433,1.14724734499071,1.06757008311068,0.485071250072666,1.05718827974185,0.778311782494156,0.492592183071889,0.587867532097255
"71",1,1,1,1,2,2,3,3,4,5,2.64575131106459,0.572408521207987,1.31909059582729,1.35400640077266,0.925562891794321,1,1.38443731048635,0.675602985442926,0.916515138991168,1.1060440015358
"86",1,1,3,3,4,1,4,3,4,2,4.40996894399003,0.705255713138881,1.50361882311222,1.2543643616154,1.17317027852544,0.983192080250175,1.45661907526806,0.987541439757388,0.979253388080752,1.2772630763408
