"SID","day","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","day_sd","A_rude_sd","E_quiet_sd","C_lazy_sd","N_relaxed_sd","N_depressed_sd","E_outgoing_sd","A_kind_sd","C_reliable_sd","N_worried_sd"
"8",1,1,3,1,3,3,3,3,5,2,4.20930962586824,0.471091191064961,1.50123275629847,0.99044056654412,0.904534033733291,0.800369893345172,1.1288546834761,0.561204210704942,1.03913893448305,0.828917121357943
"8",1,1,3,1,2,3,3,2,4,2,4.20930962586824,0.471091191064961,1.50123275629847,0.99044056654412,0.904534033733291,0.800369893345172,1.1288546834761,0.561204210704942,1.03913893448305,0.828917121357943
"19",1,1.93103448275862,5,3,4,2,1,3.37931034482759,3,2,3.63872726849015,0.4152273992687,1.15736588783294,0.847140518936221,0.490240894309911,0.403763804821623,1.19311751800261,0.660382825846818,0.562108874289156,0.582662679703555
"52",1,2,4,4,3,2,2,3,4,3,4.15363131021814,0.377401606765413,0.633744943223395,0.707106781186548,0.571428571428571,0.347586430302755,0.698686814893571,0.487950036474267,0.504672049504448,0.503457433905889
"78",1,1,2,2,1,1,3,4,4,4,3.34884212672732,0.707639843291043,1.15913318630334,1.28875809828588,0.984169570546531,0.693837341464306,1.12773883137669,0.741467299114471,0.622237484550302,0.905821627315677
"87",1,1,2,1,1,1,2,1,4,2,5.44641154273256,0.460888598962477,1.33822631613738,0.826442094733631,1.09215862287323,0.235702260395516,1.1143742932065,1.15044748327106,0.970142500145332,0.942809041582063
"89",1,1,5,3,2,1,2,3,2,4,5.30842451588937,0.43528617698962,1.40272399414523,0.935939667447121,0.777792181470063,0.579181056065182,1.31731913505015,0.526124746186338,0.649817322740829,1.0494431444774
"91",1,3,2,1,3,1,4,3,4,1,4.88100408863197,0.610824083190947,1.14360773894653,0.927550578730616,0.63088930009964,0.199885812151697,1.14227602642616,0.751012048653164,0.581291272409104,0.597113809139806
"91",1,2,3,3,4,1,3,3,5,1,4.88100408863197,0.610824083190947,1.14360773894653,0.927550578730616,0.63088930009964,0.199885812151697,1.14227602642616,0.751012048653164,0.581291272409104,0.597113809139806
"94",1,1.3,5,1,4,1,1,3.1,4,1,3.11399577664609,0.858116330321033,1.04446593573419,0.621581560508061,0.753778361444409,0.866025403784439,1.21543108701099,0.792005509622709,0.288675134594813,0.90033663737852
"94",1,1,3,1,3,1,4,4,4,2,3.11399577664609,0.858116330321033,1.04446593573419,0.621581560508061,0.753778361444409,0.866025403784439,1.21543108701099,0.792005509622709,0.288675134594813,0.90033663737852
"97",1,1,2,1,5,1,5,4,5,1,3.93538106896345,0.443766420488331,1.57948520701011,1.38181318039206,1.08092961239177,0.437100572602125,1.76772588937787,0.709975380312871,0.96873302315498,0.840676128528589
"10109",1,1,2,2,4,1,4.01777400205146,4,5,1,6.31136540958716,0.199637352376173,1.13578166916005,0.778888096369862,0.650640709864771,0,1.08012344973464,0.350982059081517,0.408248290463863,0.707106781186547
"10125",1,1,2,2,3,4,4,3,4,2,7.59585213764524,0.619546918189723,1.47709789175199,1.12815214963553,0.514928650544437,0.887625364598594,1.20604537831105,0.738548945875996,0.792961461098759,0.514928650544437
"10131",1,2,3,3,4,1,2.99429294603565,3,4,2,4.43219866733633,0.286038776773678,1.3434332265597,1.18366782448311,0.988345635126778,0,1.10742108598111,0.403269466518682,0.645842317803069,0.656789577429185
