"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"8",44,1,1,0,1,3,1,3,3,3,3,5,2,"4","4.1",1,3,1.31428571428571,3.45454545454545,1.63636363636364,2.86363636363636,2.31818181818182,2.43181818181818,2.88571428571429,4.11363636363636,2.68181818181818
"8",44,1,1,1,1,3,1,2,3,3,2,4,2,"4","4.1",2,3,1.31428571428571,3.45454545454545,1.63636363636364,2.86363636363636,2.31818181818182,2.43181818181818,2.88571428571429,4.11363636363636,2.68181818181818
"19",27,1,1,0,1.93103448275862,5,3,4,2,1,3.37931034482759,3,2,"4","4.1",1,5,1.93103448275862,3.68571428571429,2.6,3.62857142857143,2.11428571428571,2.4,3.37931034482759,3.48571428571429,2.11428571428571
"52",40,1,1,1,2,4,4,3,2,2,3,4,3,"4","4.1",1,14,2.02083333333333,3.08,2.5,3.4,1.96,2.96,3.41666666666667,3.52,2.54
"78",40,1,1,1,1,2,2,1,1,3,4,4,4,"4","4.1",1,20,1.88235294117647,3.3,2.675,3.425,1.325,2.9,3.67647058823529,3.35,2
"87",17,1,1,1,1,2,1,1,1,2,1,4,2,"4","4.1",1,24,1.27777777777778,3.55555555555556,1.72222222222222,2.61111111111111,1.05555555555556,1.77777777777778,2.83333333333333,4,2.22222222222222
"89",59,1,1,0,1,5,3,2,1,2,3,2,4,"4","4.1",1,26,2.06634182908546,2.87931034482759,2.96551724137931,3.51724137931034,1.74137931034483,3.18965517241379,3.77886056971514,3.58620689655172,2.32758620689655
"91",44,1,1,0,3,2,1,3,1,4,3,4,1,"4","4.1",1,28,1.95454545454545,3.46575342465753,2.02739726027397,3.93150684931507,1.04109589041096,3.02739726027397,3.078125,3.9041095890411,1.41095890410959
"91",44,1,1,1,2,3,3,4,1,3,3,5,1,"4","4.1",2,28,1.95454545454545,3.46575342465753,2.02739726027397,3.93150684931507,1.04109589041096,3.02739726027397,3.078125,3.9041095890411,1.41095890410959
"94",8,1,1,0,1.3,5,1,4,1,1,3.1,4,1,"4","4.1",1,30,1.3,3,1.25,3.25,1.25,3.25,3.1,3.91666666666667,1.58333333333333
"94",8,1,1,1,1,3,1,3,1,4,4,4,2,"4","4.1",2,30,1.3,3,1.25,3.25,1.25,3.25,3.1,3.91666666666667,1.58333333333333
"97",26,1,1,1,1,2,1,5,1,5,4,5,1,"4","4.1",1,32,1.18518518518519,3.57142857142857,2.42857142857143,3.61904761904762,1.16666666666667,2.5952380952381,4.11111111111111,4.19047619047619,1.30952380952381
"10109",25,1,1,1,1,2,2,4,1,4,4,5,1,"4","4.1",1,36,1.04347826086957,2.96,1.76,3.56,1,3.8,4.04347826086957,4.8,1.6
