"SID","day","real_order","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely"
"10547",57,5,NA,4,2,5,1,1,NA,3,1,3,1,3,4,3,1
"10547",53,4,2,2,1,3,1,4,5,5,2,4,2,4,5,4,2
"10539",53,3,2,5,3,4,2,3,3,3,3,4,2,3,3,3,2
"10547",49,3,1,3,2,5,1,3,5,5,1,5,1,4,5,5,1
"10539",49,2,NA,3,4,5,2,2,NA,3,2,5,2,4,4,4,3
"10547",41,1,2,3,2,3,1,4,4,4,3,4,3,4,4,3,1
"10526",53,1,2,3,2,3,1,4,4,4,3,4,2,3,5,4,2
"10547",37,7,1,4,1,3,1,3,4,4,2,4,3,4,5,4,1
"10539",37,6,3,3,2,1,3,2,3,4,5,2,3,4,2,2,3
"10547",33,6,NA,5,1,2,2,1,NA,4,4,2,3,3,3,2,2
"10539",33,5,2,5,1,2,3,2,2,4,4,3,3,3,3,2,3
"10547",29,5,1,5,1,3,1,1,4,5,2,4,2,3,5,4,1
"10526",41,5,1,5,2,3,1,1,2,4,3,4,2,4,5,3,1
"10539",29,4,NA,3,2,3,3,2,NA,4,2,4,3,3,3,3,3
"10547",25,4,1,5,1,1,2,1,1,5,3,3,4,3,4,3,1
"10547",21,3,1,5,1,3,1,2,4,5,1,4,2,4,5,4,1
"10539",25,3,NA,4,2,2,4,2,NA,5,4,2,4,3,2,2,3
"10539",21,2,NA,3,2,3,2,3,NA,4,3,3,2,3,3,2,3
"10541",33,2,1,4,1,3,1,3,3,4,2,3,1,3,3,2,2
"10547",17,2,NA,5,1,1,3,1,NA,4,4,2,4,5,3,1,4
"10536",29,1,NA,5,5,4,3,1,NA,2,2,2,3,2,2,2,4
"10539",17,1,NA,3,3,3,4,2,NA,5,3,3,3,5,3,3,3
"10547",13,1,1,3,2,3,1,3,5,5,3,4,1,5,5,4,1
"10539",13,7,NA,5,5,4,2,1,NA,2,2,3,2,5,3,3,3
"10536",25,7,NA,5,5,4,2,1,NA,2,2,2,2,3,3,2,1
"10543",53,7,2,3,2,3,1,3,3,3,2,3,2,3,3,4,1
"10509",53,7,1,2,2,5,1,4,3,3,1,4,1,5,4,5,1
"10547",9,7,1,5,2,4,2,3,3,4,1,3,2,4,4,3,2
"10526",17,6,2,2,1,5,1,5,3,3,1,5,2,4,5,5,1
"10509",49,6,NA,2,3,5,1,4,NA,4,2,4,1,5,5,4,1
"10539",9,6,NA,5,5,5,2,1,NA,2,1,4,1,5,4,4,2
"10515",57,6,NA,3,5,5,1,1,NA,4,1,4,2,5,4,4,1
"10547",5,6,NA,5,2,4,1,1,NA,3,1,3,2,2,4,3,3
