"SID","day","real_order","E_outgoing","E_quiet","C_lazy","C_reliable","N_worried","N_relaxed","N_depressed","A_rude","A_kind","authentic","SE","Happy","Lonely","pos_emotion","neg_emotion"
"8",0,5,3,3,1,5,2,3,3,1,3,4,2,3,2,3,3
"8",1,5,3,3,1,4,2,2,3,1,2,4,3,3,2,3,3
"8",2,5,2,1,1,5,3,1,3,1,3,5,3,3,2,3,3
"8",3,5,2,5,1,5,3,3,2,2,3,3,3,3,2,3,2
"8",5,6,1,3,5,2,3,4,2,NA,NA,4,2,2,1,3,3
"8",7,6,3,2,1,4,1,3,2,1,4,4,3,3,2,3,2
"8",9,7,4,3,1,5,1,4,2,1,3,4,3,3,1,3,2
"8",10,7,3,2,2,4,2,4,2,1,4,5,3,3,2,3,3
"8",11,7,2,4,2,4,2,3,3,1,3,3,3,3,3,3,3
"8",12,7,3,1,2,4,3,3,2,2,4,5,4,3,2,4,3
"8",13,1,2,3,3,3,3,3,2,2,2,3,3,3,1,3,2
"8",14,1,1,5,1,5,2,3,2,NA,NA,3,3,2,1,3,3
"8",15,1,2,5,2,2,3,2,2,NA,NA,4,3,2,1,2,2
"8",17,2,3,4,1,4,3,3,2,1,3,3,4,3,1,3,2
"8",18,2,1,4,3,2,3,2,2,1,2,3,3,3,1,3,1
"8",19,2,3,3,1,5,2,2,1,1,3,3,5,4,2,4,2
"8",20,2,5,2,1,4,2,4,1,1,3,4,3,4,1,3,2
"8",21,3,4,2,3,3,3,3,2,1,3,3,3,3,1,3,2
"8",22,3,3,4,3,3,3,3,2,1,3,2,3,2,3,2,3
"8",23,3,2,5,3,2,4,3,3,NA,NA,4,2,2,1,2,3
"8",24,3,1,5,2,3,3,3,3,NA,NA,3,2,2,3,3,3
"8",25,4,2,2,1,4,3,3,3,2,3,4,3,3,1,3,3
"8",26,4,1,5,1,4,2,4,2,1,3,4,3,3,1,3,NA
"8",27,4,3,5,1,5,2,3,2,NA,NA,4,3,3,1,3,3
"8",29,5,4,2,2,3,2,3,3,1,3,3,3,3,2,3,2
"8",30,5,1,5,4,2,4,2,2,NA,NA,3,2,3,2,3,3
"8",31,5,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3
"8",33,6,1,4,1,5,2,3,2,2,2,3,3,3,1,3,2
"8",34,6,4,1,1,5,4,3,3,1,3,5,3,2,1,3,3
"8",37,7,1,5,2,5,1,5,2,1,2,4,3,3,1,3,2
"8",39,7,2,5,1,5,3,2,2,1,4,3,3,3,1,3,2
"8",41,1,1,5,1,4,2,3,2,NA,NA,4,4,3,1,4,2
"8",42,1,3,5,3,4,2,5,2,1,3,4,4,5,1,5,1
"8",44,1,2,5,1,5,4,2,1,2,3,3,2,2,1,2,3
"8",45,2,3,4,1,4,3,4,3,1,3,3,3,3,2,3,3
"8",46,2,1,5,1,5,4,2,5,1,2,2,1,2,1,2,5
"8",47,2,4,1,1,5,2,3,1,2,3,4,4,3,1,4,3
"8",48,2,3,1,1,5,4,3,4,2,3,5,1,3,1,3,4
"8",49,3,2,5,1,5,3,2,2,3,2,3,3,3,1,3,2
"8",50,3,2,5,1,5,4,2,3,2,2,3,2,2,3,3,3
"8",51,3,1,5,1,5,3,1,3,1,2,3,2,2,1,2,3
"8",53,4,2,2,1,5,3,3,3,NA,NA,3,2,1,1,2,3
"8",57,5,3,2,1,5,2,1,1,1,3,4,3,3,1,3,2
"8",58,5,5,1,1,5,3,3,2,1,4,4,3,3,1,3,2
"17",2,3,4,1,1,5,2,4,1,2,3,5,5,4,1,5,1
"17",10,5,3,3,3,5,2,3,2,1,4,2,3,3,2,2,2
"17",11,5,4,2,1,5,3,2,1,1,5,4,5,4,1,4,1
"17",12,5,2,4,1,4,1,2,2,1,1,2,3,3,3,3,3
"17",13,6,3,3,2,4,3,3,3,1,3,2,3,2,4,2,3
"17",14,6,3,3,1,4,3,3,2,1,2,3,3,3,5,2,3
"17",15,6,2,5,3,4,1,4,1,NA,NA,5,4,3,2,3,2
"17",16,6,1,5,5,1,1,5,1,NA,NA,5,5,5,2,4,1
"17",17,7,4,3,3,4,1,3,1,1,5,3,3,4,3,3,2
"17",18,7,3,4,5,2,3,4,2,1,4,2,2,3,4,3,3
"17",19,7,5,2,3,5,1,3,1,1,4,5,5,4,3,4,1
"17",20,7,1,5,1,4,2,4,1,NA,NA,5,4,3,3,2,2
"17",21,1,5,2,1,5,1,5,1,2,4,5,5,5,1,5,1
"17",22,1,5,2,1,5,3,3,1,1,4,5,5,5,1,4,1
"17",23,1,5,1,4,5,1,4,1,NA,NA,5,5,4,1,4,1
"17",24,1,5,1,1,3,2,3,1,2,2,4,5,4,1,3,1
"17",25,2,3,3,2,5,2,4,2,1,2,4,4,4,3,3,2
"17",26,2,2,4,3,5,2,4,1,1,1,3,4,3,2,2,2
"17",27,2,5,1,1,5,2,3,1,1,3,4,3,3,3,2,2
"17",28,2,3,3,4,3,4,2,4,1,1,2,1,2,5,1,4
"17",29,3,5,2,2,5,2,4,1,1,3,4,5,5,1,4,1
"17",30,3,1,5,1,5,1,5,1,1,1,5,5,5,2,5,1
"17",31,3,4,1,1,4,1,4,1,1,1,5,5,4,1,3,1
"17",32,3,5,1,1,3,2,4,1,2,3,2,4,3,3,3,2
"17",33,4,5,1,3,5,1,4,1,2,3,5,5,5,1,4,1
"17",34,4,2,4,1,5,1,4,1,1,3,4,4,3,1,1,1
"17",35,4,5,1,2,3,2,4,1,1,3,5,5,5,1,4,1
"17",36,4,3,5,1,5,2,4,1,1,5,5,4,3,1,3,3
"17",37,5,2,2,2,5,2,4,2,1,4,4,3,3,3,2,2
"17",38,5,1,5,1,5,1,3,1,NA,NA,5,3,4,2,3,1
"17",39,5,4,2,1,3,2,4,1,1,3,4,4,4,2,3,1
"17",40,5,3,3,2,4,1,3,1,3,3,3,5,4,2,4,1
"17",41,6,4,2,5,3,2,4,1,2,3,4,3,4,4,3,1
"17",42,6,4,2,1,5,1,4,1,1,4,4,5,4,1,4,1
"17",43,6,4,3,4,3,3,3,1,1,1,3,4,4,2,3,1
"17",44,6,1,5,2,4,1,5,1,NA,NA,5,5,5,2,5,1
"17",46,7,4,3,4,3,4,3,1,1,1,4,4,3,2,3,2
"17",47,7,5,1,1,4,1,5,1,2,5,5,5,5,1,5,1
"17",48,7,1,5,3,4,3,3,2,NA,NA,3,3,3,3,2,2
"17",49,1,3,3,2,3,2,3,2,3,2,3,3,3,4,2,2
"17",50,1,4,2,2,5,3,3,1,1,3,4,5,4,1,3,2
"17",51,1,3,3,4,3,2,3,2,3,3,3,3,3,3,3,3
"17",52,1,1,5,5,3,2,5,1,NA,NA,5,5,5,2,4,2
"17",53,2,2,5,3,5,1,3,1,1,2,3,4,3,1,2,1
"17",54,2,4,5,3,4,1,3,1,1,4,5,5,4,1,3,1
"17",55,2,4,2,1,4,3,1,1,1,4,2,3,2,4,2,3
"17",56,2,3,3,4,4,3,2,3,2,2,2,2,2,5,2,3
"17",57,3,4,3,4,4,2,4,1,NA,NA,5,5,5,2,4,1
"17",58,3,4,2,5,5,3,4,1,1,5,4,5,5,1,4,1
"17",59,3,3,4,1,5,2,3,2,NA,NA,5,4,3,3,3,2
"17",60,3,4,3,3,3,3,4,1,1,3,4,5,4,2,3,1
"19",0,3,1,5,3,3,2,4,2,NA,NA,5,4,3,1,4,3
"19",2,3,4,2,2,4,2,4,2,2,4,5,3,4,2,4,3
"19",3,3,2,5,3,4,2,4,2,2,3,4,3,4,1,3,3
"19",5,4,1,5,2,4,3,3,2,1,3,3,3,3,1,3,3
"19",6,4,1,5,2,4,3,3,3,2,2,3,3,3,1,3,3
"19",8,4,4,3,2,4,2,4,2,1,4,4,3,4,1,4,2
"19",9,5,4,2,1,3,2,4,2,2,4,4,3,4,2,4,2
"19",10,5,1,5,2,3,2,4,2,2,3,3,3,3,2,3,2
"19",11,5,2,4,2,4,3,3,2,3,3,2,3,3,2,3,3
"19",12,5,2,4,4,4,2,4,2,2,4,4,3,3,2,3,2
"19",13,6,4,2,2,4,3,3,2,2,4,3,3,4,2,4,2
"19",15,6,1,5,3,3,2,4,2,NA,NA,4,3,3,2,2,2
"19",17,7,3,3,2,4,3,4,2,1,4,4,4,5,2,4,2
"19",22,1,4,2,2,4,2,3,2,2,3,3,3,4,2,3,2
"19",24,1,4,2,2,3,2,4,2,2,3,3,3,3,2,3,2
"19",25,2,1,5,4,3,2,3,3,NA,NA,3,2,4,2,3,2
"19",26,2,1,5,4,3,2,3,3,2,3,4,3,4,2,3,2
"19",27,2,2,4,2,3,2,4,2,2,3,3,3,3,2,3,2
"19",30,3,3,2,4,4,2,4,2,2,4,4,3,3,2,4,2
"19",31,3,4,3,2,4,2,4,2,3,4,3,3,5,1,4,2
"19",33,4,1,5,4,3,2,4,3,NA,NA,4,2,3,1,2,3
"19",34,4,1,5,3,3,2,3,2,NA,NA,3,3,3,2,3,2
"19",37,5,3,4,3,4,1,3,2,NA,NA,3,3,4,2,3,2
"19",41,6,2,4,4,3,1,4,2,2,4,3,3,4,1,3,2
"19",45,7,1,5,3,3,2,3,2,1,3,3,2,4,2,3,2
"19",50,1,4,3,2,4,2,3,2,2,4,3,3,4,2,3,2
"19",52,1,2,4,2,4,2,4,2,2,4,4,3,3,2,3,2
"22",3,2,4,3,2,5,2,3,1,1,4,5,4,5,1,5,2
"22",4,2,5,1,2,5,1,5,1,1,1,5,4,5,1,5,NA
"22",5,3,2,4,1,4,2,3,2,1,3,4,3,4,2,4,2
"22",6,3,3,4,1,5,2,3,1,1,4,4,4,3,2,4,2
"22",7,3,4,2,2,4,1,3,1,1,4,5,4,4,1,4,2
"22",8,3,4,2,2,4,2,3,2,1,4,4,3,4,1,5,1
"22",9,4,4,3,1,5,2,4,2,1,4,5,4,5,1,5,1
"22",11,4,3,2,1,4,2,3,1,1,3,4,4,4,1,4,2
"22",12,4,5,1,1,4,1,4,1,1,4,4,4,5,1,5,1
"22",13,5,2,5,1,4,3,3,2,1,4,4,3,4,2,4,3
"22",14,5,3,3,1,4,2,3,1,1,4,4,4,4,2,5,2
"22",15,5,4,2,2,4,2,4,1,1,4,5,4,5,1,5,2
"22",16,5,4,2,1,4,1,5,1,1,5,5,4,5,1,5,1
"22",17,6,1,4,3,3,3,3,2,NA,NA,3,3,4,3,3,2
"22",18,6,1,5,3,5,3,3,2,1,3,4,4,3,2,4,2
"22",19,6,1,5,1,5,3,4,2,1,3,4,4,3,3,4,2
"22",20,6,4,3,2,4,1,4,1,1,4,5,5,5,1,4,1
"22",21,7,5,2,2,5,1,4,1,1,4,5,5,5,2,5,1
"22",22,7,3,3,1,5,1,4,1,1,4,5,5,5,1,5,1
"22",23,7,4,3,2,4,2,3,1,1,4,4,4,4,2,5,1
"22",24,7,2,5,3,3,3,3,1,1,3,4,4,3,2,3,3
"22",25,1,2,5,2,4,3,3,2,1,3,4,3,3,2,3,3
"22",26,1,3,4,2,4,3,3,2,1,3,4,4,4,1,4,2
"22",27,1,3,4,1,4,3,3,1,1,3,4,4,4,1,4,2
"22",28,1,2,5,1,5,3,3,2,NA,NA,4,4,4,2,4,1
"22",29,2,4,4,1,3,3,3,2,1,3,4,4,4,2,4,2
"22",30,2,4,4,1,4,2,4,1,1,4,4,5,5,2,5,1
"22",31,2,4,3,2,4,2,4,1,1,3,4,4,5,1,5,1
"22",32,2,5,3,1,4,2,4,1,1,4,5,5,5,1,5,1
"22",33,3,2,3,2,4,2,3,3,1,2,4,4,3,2,3,3
"22",34,3,4,4,1,4,2,4,2,1,3,5,4,4,1,4,1
"22",35,3,4,2,1,4,2,4,2,1,4,5,5,5,1,4,2
"22",36,3,4,3,2,4,2,4,1,1,4,4,4,5,1,5,1
"22",37,4,4,2,1,4,2,4,2,1,4,5,4,4,1,5,1
"22",38,4,3,3,1,4,2,4,1,1,3,4,4,4,2,3,1
"22",39,4,3,3,2,4,2,3,2,1,3,4,4,4,2,5,1
"22",40,4,4,2,1,4,1,4,1,1,4,4,5,5,1,5,1
"22",41,5,4,4,1,4,2,4,1,1,3,4,4,4,2,4,2
"22",43,5,4,3,2,4,2,3,2,1,3,3,4,4,1,4,3
"22",44,5,4,3,2,4,2,4,1,1,4,4,4,5,2,5,2
"22",50,7,2,5,2,4,2,3,2,1,2,4,4,4,2,4,2
"22",51,7,3,4,2,4,2,3,2,1,2,4,3,4,2,4,3
"22",52,7,2,4,2,3,2,3,2,1,2,4,3,4,2,4,2
"22",53,1,1,5,2,4,3,3,1,1,2,4,4,3,2,4,3
"22",55,1,3,5,2,4,3,3,2,1,3,4,4,4,2,4,2
"22",56,1,2,3,3,4,3,3,2,NA,NA,4,4,3,3,3,2
"22",57,2,3,4,2,4,4,2,2,1,3,3,4,4,2,4,3
"22",58,2,3,4,1,5,4,1,2,1,1,4,4,3,2,3,3
"22",59,2,3,4,1,4,1,5,1,1,3,4,4,5,1,4,1
"22",60,2,4,3,2,4,2,3,2,2,3,4,4,5,1,5,2
"27",2,2,3,3,NA,5,1,4,1,1,3,5,5,5,1,1,1
"27",27,2,1,4,2,5,1,5,1,1,3,5,4,4,1,3,1
"27",28,2,3,2,3,5,1,5,1,1,5,5,4,3,1,3,2
"27",29,3,2,4,3,3,1,5,1,1,2,4,3,3,1,3,1
"27",30,3,1,3,1,4,1,4,1,1,3,5,5,4,1,4,2
"27",31,3,1,3,2,3,1,5,1,1,3,5,5,4,1,3,1
"27",32,3,1,1,3,4,1,4,1,1,3,4,4,3,1,3,1
"27",33,4,5,2,2,3,1,5,1,1,3,5,5,5,1,5,1
"27",34,4,3,2,1,4,1,5,1,1,3,5,5,5,1,4,1
"27",35,4,2,4,1,2,1,5,1,1,4,5,4,4,1,3,1
"27",36,4,3,3,2,4,1,5,1,1,4,5,4,4,1,3,1
"27",37,5,3,5,4,2,1,5,1,1,4,4,5,3,2,3,1
"27",42,6,3,2,1,4,1,4,1,1,4,5,4,4,1,3,1
"27",43,6,4,1,1,5,1,5,1,1,5,5,4,5,1,4,1
"27",45,7,3,2,4,4,1,5,1,1,4,5,5,5,1,4,1
"27",47,7,3,2,5,3,1,5,1,1,3,5,4,4,1,3,1
"27",49,1,1,5,4,2,1,4,1,1,1,5,4,3,1,3,1
"27",50,1,3,2,2,4,1,5,1,1,NA,5,4,4,1,3,1
"27",54,2,2,2,1,5,1,5,1,3,3,5,5,4,1,4,1
"27",55,2,1,4,3,4,1,4,1,1,3,5,4,3,1,3,1
"27",56,2,1,4,2,4,1,4,1,1,3,5,4,4,1,3,1
"27",58,3,2,3,1,4,1,5,1,1,3,5,4,4,1,3,1
"27",59,3,2,3,2,4,1,4,1,1,3,5,5,4,1,4,1
"27",60,3,3,2,3,4,1,4,1,1,4,3,5,4,1,3,1
"45",3,2,3,2,2,4,3,3,1,1,4,4,4,4,2,4,2
"45",5,3,3,4,2,4,3,3,2,1,3,3,3,3,2,3,2
"45",6,3,2,5,1,3,4,1,3,2,3,3,3,2,2,3,3
"45",7,3,2,5,2,4,2,2,1,1,4,4,3,3,2,3,2
"45",8,3,4,3,2,5,2,3,1,1,4,4,3,3,2,3,2
"45",10,4,4,2,2,3,3,4,2,3,3,4,4,4,2,4,2
"45",11,4,2,4,3,4,3,3,1,1,3,4,4,4,1,4,2
"45",12,4,2,4,3,3,3,2,2,2,4,2,1,3,4,3,3
"45",13,5,3,3,2,4,2,3,3,1,4,3,3,4,1,4,3
"45",14,5,4,1,3,4,1,4,1,2,4,4,4,5,1,5,2
"45",15,5,2,5,4,4,3,5,3,1,3,3,3,5,1,4,3
"45",17,6,5,2,3,4,1,4,1,2,3,4,4,5,1,5,1
"45",18,6,5,2,3,4,2,4,1,1,3,5,4,5,1,4,2
"45",19,6,3,4,3,3,4,2,2,1,3,5,4,4,1,4,3
"45",22,7,3,3,3,4,3,4,2,2,4,3,3,4,1,3,2
"45",23,7,1,2,2,3,3,4,1,NA,NA,5,4,4,1,4,2
"45",24,7,3,3,1,3,3,3,2,2,3,3,2,3,3,3,3
"45",25,1,3,2,2,4,3,2,2,2,3,3,3,3,2,3,3
"45",27,1,2,5,2,4,4,2,2,1,4,4,2,2,1,2,3
"45",30,2,4,5,2,4,3,4,1,2,4,5,3,4,1,5,2
"45",31,2,2,5,1,5,3,2,1,1,4,3,2,4,3,3,2
"45",32,2,3,4,3,4,4,2,1,1,3,4,3,4,1,4,2
"45",33,3,3,5,1,3,5,1,1,2,3,4,2,3,1,3,3
"45",34,3,3,3,1,4,3,2,1,2,3,4,4,4,1,4,3
"45",35,3,1,5,2,4,5,2,1,NA,NA,4,2,3,1,3,3
"45",36,3,3,3,1,5,5,2,1,2,4,5,3,5,1,5,4
"45",37,4,2,5,2,4,4,3,1,1,3,4,3,5,1,3,3
"45",40,4,2,4,3,5,4,3,1,2,4,3,2,4,3,4,3
"45",41,5,3,4,2,3,4,3,1,2,4,4,3,3,1,3,3
"45",44,5,4,4,3,2,3,5,2,2,5,4,2,4,1,4,2
"45",46,6,4,2,5,2,3,4,1,2,3,4,4,5,1,5,1
"45",47,6,4,2,3,3,3,4,1,2,4,4,4,5,1,4,2
"45",48,6,5,2,3,3,2,5,1,2,4,3,4,5,1,5,1
"45",49,7,3,3,3,4,3,3,1,2,5,3,3,5,2,5,2
"45",51,7,4,1,1,5,4,2,1,2,5,3,4,3,2,3,3
"45",52,7,4,2,2,3,5,2,1,2,4,4,4,3,1,3,3
"45",54,1,3,5,4,2,2,5,2,4,2,3,3,4,1,4,3
"45",55,1,3,3,1,4,3,2,2,1,3,4,2,3,1,4,2
"45",57,2,3,4,2,4,3,3,1,2,4,3,3,4,2,4,2
"45",58,2,3,3,2,4,2,2,1,1,4,4,3,4,2,5,2
"45",60,2,3,4,3,4,2,3,1,2,4,3,4,5,1,5,2
"46",2,1,4,2,2,4,2,4,1,1,4,5,4,4,1,4,3
"46",3,1,3,4,3,5,2,5,1,1,4,5,4,5,1,4,1
"46",5,2,3,4,3,5,2,3,1,2,4,4,4,3,2,3,3
"46",8,2,4,2,2,5,2,3,1,1,5,5,4,4,2,4,2
"46",9,3,2,4,2,4,2,3,1,1,4,4,4,3,2,3,2
"46",10,3,2,5,2,4,2,2,2,2,4,3,3,3,2,2,3
"46",17,5,1,5,2,4,4,2,3,NA,NA,4,2,3,3,2,4
"46",18,5,2,5,2,3,4,2,3,1,4,4,2,2,3,2,4
"46",20,5,4,1,2,4,2,4,1,1,5,4,4,4,3,NA,2
"46",22,6,2,3,1,5,3,4,2,NA,NA,4,4,4,2,4,2
"46",26,7,4,2,3,4,3,3,1,1,5,5,4,5,1,4,1
"46",29,1,2,5,3,5,3,4,2,1,5,5,4,4,1,4,2
"46",31,1,1,5,3,4,3,3,1,NA,NA,4,4,3,3,3,3
"46",32,1,3,2,2,4,2,4,1,1,5,5,4,5,1,4,2
"46",33,2,4,3,2,3,2,3,1,1,5,4,4,4,1,4,2
"46",34,2,3,5,2,4,3,2,1,1,5,4,4,3,2,3,2
"46",35,2,4,3,2,5,2,3,1,1,5,5,4,4,1,4,1
"46",37,3,2,5,2,4,3,3,2,1,5,4,4,3,2,3,3
"46",38,3,2,5,2,4,4,2,3,1,4,3,4,2,4,3,3
"46",44,4,1,5,2,4,3,3,1,NA,NA,5,4,3,3,3,3
"46",45,5,4,3,2,3,2,3,1,1,5,4,4,4,1,4,2
"46",46,5,3,4,2,4,2,4,1,NA,NA,4,4,4,2,4,2
"46",51,6,3,2,3,4,2,4,1,1,5,4,4,4,1,4,2
"46",51,6,3,3,2,4,2,4,1,1,5,4,4,4,1,4,1
"46",55,7,3,5,1,4,4,1,2,1,4,4,4,2,3,2,4
"51",2,1,4,2,1,5,2,5,1,2,5,5,4,5,1,5,1
"51",5,2,4,2,2,5,1,5,1,1,5,5,5,4,1,4,1
"51",6,2,1,5,3,2,2,3,2,NA,NA,5,2,3,1,2,1
"51",7,2,4,2,1,5,2,5,1,1,5,5,4,5,1,5,2
"51",8,2,4,2,3,5,2,5,1,1,5,5,5,5,1,5,1
"51",9,3,2,5,1,5,2,5,1,1,5,4,4,4,1,3,1
"51",10,3,1,5,1,5,2,4,1,1,5,4,4,3,1,1,1
"51",11,3,3,5,1,5,1,5,1,1,5,4,4,5,1,3,1
"51",12,3,4,2,5,4,1,5,1,2,4,4,4,5,1,5,1
"51",13,4,1,5,1,5,2,4,1,1,5,4,4,5,1,3,1
"51",14,4,1,5,1,4,2,4,1,2,4,4,4,4,1,2,1
"51",15,4,1,5,1,4,3,3,2,NA,NA,5,4,3,2,3,2
"51",16,4,3,3,2,4,3,4,1,2,4,4,3,4,1,3,2
"51",17,5,1,5,1,5,3,3,1,NA,NA,4,4,3,2,2,2
"51",18,5,2,5,1,4,3,3,1,1,5,3,3,3,1,3,1
"51",19,5,2,4,2,4,2,3,1,2,4,4,4,4,1,3,1
"51",20,5,3,3,1,5,2,5,1,1,5,5,4,5,1,4,1
"51",21,6,2,5,2,4,2,4,1,1,5,4,4,4,1,2,1
"51",22,6,2,4,2,4,2,3,1,NA,NA,5,4,3,2,3,2
"51",23,6,1,5,3,3,2,3,1,NA,NA,5,3,3,3,3,3
"51",24,6,2,5,2,4,3,3,2,1,5,5,4,4,2,3,2
"51",25,7,4,3,1,4,1,4,1,1,5,5,4,4,1,3,1
"51",26,7,3,4,1,4,3,4,1,1,5,5,4,5,1,4,2
"51",27,7,1,5,1,5,2,5,1,1,4,5,4,5,1,5,1
"51",28,7,3,3,1,3,2,4,1,1,5,5,4,4,1,3,1
"51",29,1,2,4,1,3,4,2,1,1,3,3,2,2,1,2,2
"51",30,1,1,5,1,3,5,2,2,2,4,3,2,2,1,1,2
"51",31,1,3,3,1,3,5,3,3,2,4,4,1,3,1,1,3
"51",32,1,3,3,1,5,4,3,3,2,3,3,2,3,1,3,3
"51",33,2,2,4,4,3,1,3,1,2,4,4,3,3,1,2,1
"51",34,2,1,5,2,4,2,4,1,1,5,5,4,3,1,3,1
"51",35,2,1,5,1,5,1,5,1,1,5,5,4,4,1,1,1
"51",36,2,2,4,1,3,3,3,1,2,3,4,2,3,1,2,1
"51",37,3,2,5,1,5,1,5,1,1,5,5,5,5,1,3,1
"51",38,3,2,4,1,4,2,3,1,2,4,4,3,3,1,2,1
"51",39,3,1,5,2,4,2,4,1,2,4,5,4,4,1,4,1
"51",40,3,1,5,2,4,1,3,1,1,5,5,4,4,1,2,1
"51",41,4,2,3,1,3,3,2,3,2,4,4,3,3,1,1,3
"51",42,4,2,4,1,4,2,4,1,1,5,4,4,4,1,3,1
"51",43,4,2,4,2,5,2,5,1,1,5,5,5,5,1,4,1
"51",44,4,5,2,2,3,2,3,1,3,3,5,3,4,1,4,2
"51",45,5,3,3,1,4,1,5,1,1,4,5,4,5,1,4,1
"51",46,5,1,5,2,3,1,5,1,2,4,5,4,3,1,1,1
"51",47,5,2,4,2,5,1,5,1,1,5,5,5,5,1,3,1
"51",48,5,3,3,5,4,1,5,1,NA,NA,5,5,5,1,5,2
"51",49,6,3,4,3,4,1,5,1,2,4,5,5,5,1,4,1
"51",50,6,1,4,2,4,1,5,1,NA,NA,5,4,5,2,3,1
"51",51,6,4,2,4,4,1,5,1,1,5,5,5,5,1,5,1
"51",52,6,4,3,5,4,2,5,1,3,3,5,5,5,1,4,2
"51",53,7,1,4,1,2,5,1,2,2,3,5,2,2,1,1,5
"51",54,7,3,3,3,3,1,4,1,1,5,5,3,5,1,3,1
"51",55,7,1,4,2,4,2,3,1,2,4,5,4,5,1,4,1
"51",56,7,3,3,1,4,1,5,1,2,4,5,4,5,1,4,1
