"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"1",-0.0625,0.975,0.375,-0.775,-0.85,-1.225,-0.625,1.3,-0.275,0.9,0.15,-0.35,0.45,27.6,-3.075,NA,NA
"1",NA,0.975,2.375,1.225,-0.85,-1.225,NA,1.3,-0.275,0.9,-2.85,-0.35,1.45,19.6,1.925,NA,NA
"1",-0.0625,0.975,2.375,-0.775,0.15,-1.225,-0.625,0.3,1.725,-0.1,0.15,0.65,1.45,11.6,-0.0750000000000002,NA,NA
"1",-0.0625,0.975,-1.625,-1.775,1.15,-1.225,0.375,-0.7,1.725,-0.1,-0.85,0.65,2.45,7.6,-1.075,NA,NA
"1",-0.0625,-0.025,0.375,-1.775,2.15,-1.225,-0.625,0.3,2.725,-1.1,0.15,-1.35,0.45,-0.399999999999999,-3.075,NA,NA
"1",-0.0625,-3.025,-1.625,1.225,-0.85,2.775,1.375,1.3,-1.275,-0.1,0.15,1.65,-1.55,-4.4,2.925,NA,NA
"1",-0.0625,-1.025,-0.625,1.225,-0.85,0.775,0.375,-0.7,-1.275,-0.1,0.15,0.65,-0.55,-8.4,1.925,NA,NA
"1",-0.0625,0.975,-1.625,0.225,0.15,-1.225,-0.625,0.3,1.725,-1.1,0.15,-0.35,1.45,-12.4,0.925,NA,NA
"1",-0.0625,-2.025,-1.625,-0.775,-0.85,1.775,0.375,-0.7,1.725,-2.1,-1.85,-0.35,-0.55,-16.4,-0.0750000000000002,NA,NA
"1",-0.0625,0.975,-0.625,0.225,0.15,-1.225,-0.625,-0.7,0.725,-2.1,-1.85,-1.35,-1.55,-20.4,-1.075,NA,NA
"1",-0.0625,0.975,-0.625,0.225,-0.85,-1.225,-0.625,-0.7,0.725,0.9,0.15,-0.35,2.45,28.6,-3.075,NA,NA
"1",-0.0625,0.975,-1.625,0.225,-0.85,-1.225,0.375,0.3,-0.275,1.9,0.15,-0.35,-1.55,24.6,2.925,NA,NA
"1",-0.0625,-2.025,1.375,0.225,-0.85,1.775,-0.625,1.3,-1.275,-0.1,1.15,-0.35,-0.55,16.6,0.925,NA,NA
"1",NA,0.975,1.375,-2.775,2.15,-1.225,NA,-0.7,2.725,-1.1,1.15,-2.35,1.45,0.600000000000001,-3.075,NA,NA
"1",-0.0625,-1.025,-1.625,-0.775,-0.85,1.775,0.375,0.3,0.725,1.9,1.15,-0.35,-1.55,-3.4,2.925,NA,NA
"1",-0.0625,-2.025,-1.625,1.225,-0.85,2.775,1.375,0.3,-1.275,0.9,1.15,0.65,-1.55,-7.4,1.925,NA,NA
"1",0.9375,-0.025,1.375,1.225,-0.85,0.775,-1.625,-0.7,-1.275,-0.1,1.15,1.65,-1.55,-11.4,0.925,NA,NA
"1",-0.0625,-0.025,1.375,-1.775,1.15,-1.225,0.375,-0.7,0.725,-1.1,-0.85,-0.35,-0.55,-15.4,-0.0750000000000002,NA,NA
"1",-0.0625,0.975,-0.625,-2.775,1.15,-1.225,-0.625,-0.7,1.725,-0.1,-0.85,-1.35,0.45,-19.4,-1.075,NA,NA
"1",-0.0625,0.975,-0.625,0.225,-0.85,0.775,-0.625,-0.7,-0.275,-1.1,-0.85,0.65,0.45,-23.4,-2.075,NA,NA
"1",-0.0625,-1.025,-0.625,1.225,-0.85,1.775,0.375,-0.7,-0.275,0.9,0.15,1.65,-1.55,29.6,-3.075,NA,NA
"1",-0.0625,-0.025,-0.625,0.225,-0.85,2.775,0.375,1.3,-1.275,0.9,0.15,1.65,-0.55,25.6,2.925,NA,NA
"1",NA,0.975,-1.625,-1.775,2.15,-1.225,NA,0.3,0.725,-1.1,-1.85,-0.35,2.45,21.6,1.925,NA,NA
"1",NA,0.975,1.375,1.225,0.15,-1.225,NA,0.3,-1.275,0.9,1.15,-0.35,1.45,17.6,0.925,NA,NA
"1",0.9375,-1.025,2.375,1.225,3.15,-0.225,0.375,0.3,0.725,0.9,1.15,-0.35,-1.55,9.6,-1.075,NA,NA
"1",-0.0625,-0.025,2.375,-0.775,2.15,-0.225,-0.625,-0.7,0.725,-0.1,1.15,-2.35,1.45,-2.4,2.925,NA,NA
"1",-0.0625,-3.025,-1.625,1.225,-0.85,0.775,0.375,-0.7,-1.275,0.9,1.15,0.65,-0.55,-6.4,1.925,NA,NA
"1",-0.0625,-2.025,2.375,1.225,0.15,2.775,1.375,0.3,-1.275,-0.1,0.15,0.65,-0.55,-10.4,0.925,NA,NA
"1",-0.0625,0.975,-1.625,1.225,-0.85,-1.225,0.375,-0.7,-1.275,0.9,0.15,0.65,-0.55,-14.4,-0.0750000000000002,NA,NA
"1",-0.0625,-2.025,-0.625,0.225,0.15,1.775,0.375,0.3,-0.275,-0.1,-0.85,-0.35,-1.55,-18.4,-1.075,NA,NA
"1",-0.0625,0.975,0.375,1.225,-0.85,0.775,-0.625,-0.7,-0.275,-1.1,-0.85,0.65,-0.55,-22.4,-2.075,NA,NA
"1",NA,0.975,2.375,1.225,1.15,-1.225,NA,-0.7,-0.275,0.9,0.15,-1.35,1.45,18.6,0.925,NA,NA
"1",NA,0.975,2.375,1.225,0.15,-1.225,NA,1.3,-1.275,0.9,1.15,1.65,0.45,10.6,-1.075,NA,NA
"1",-0.0625,0.975,-1.625,-2.775,-0.85,-1.225,-0.625,1.3,1.725,0.9,1.15,0.65,-1.55,6.6,-2.075,NA,NA
"1",-0.0625,0.975,-1.625,1.225,-0.85,-1.225,1.375,0.3,-1.275,-1.1,1.15,1.65,-1.55,2.6,-3.075,NA,NA
"1",NA,0.975,-0.625,0.225,0.15,-0.225,NA,0.3,0.725,-0.1,0.15,1.65,0.45,-1.4,2.925,NA,NA
"1",NA,0.975,1.375,-0.775,-0.85,-1.225,NA,0.3,-1.275,-0.1,0.15,-1.35,1.45,-5.4,1.925,NA,NA
"1",-0.0625,-2.025,0.375,1.225,-0.85,1.775,-0.625,-0.7,-1.275,-0.1,-0.85,-1.35,0.45,-13.4,-0.0750000000000002,NA,NA
"1",-0.0625,0.975,-1.625,0.225,-0.85,0.775,0.375,-0.7,-1.275,-0.1,-0.85,0.65,-1.55,-17.4,-1.075,NA,NA
"1",-0.0625,0.975,0.375,-1.775,1.15,-1.225,-0.625,-0.7,-0.275,-1.1,-0.85,-1.35,1.45,-24.4,-2.075,NA,NA
"4",NA,0.625,0.1875,-0.6875,-0.8125,-2.28125,NA,-0.5,-0.9375,-1,-0.75,-0.65625,-0.78125,29.78125,-1.3125,NA,NA
"4",-0.666666666666667,-0.375,-0.8125,0.3125,1.1875,0.71875,-0.296296296296296,0.5,0.0625,0,0.25,0.34375,-0.78125,5.78125,-0.3125,NA,NA
"4",-0.666666666666667,0.625,0.1875,-0.6875,1.1875,0.71875,-0.296296296296296,-0.5,0.0625,-1,-0.75,-1.65625,1.21875,-2.21875,-2.3125,NA,NA
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,0.71875,-0.296296296296296,-0.5,1.0625,1,0.25,0.34375,0.21875,-18.21875,0.6875,NA,NA
"4",1.33333333333333,-1.375,-1.8125,-1.6875,-0.8125,0.71875,-0.296296296296296,1.5,1.0625,1,0.25,0.34375,-0.78125,-22.21875,-0.3125,NA,NA
"4",NA,2.625,2.1875,1.3125,-0.8125,-1.28125,NA,-0.5,1.0625,1,0.25,-0.65625,1.21875,26.78125,-2.3125,NA,NA
"4",-0.666666666666667,-1.375,0.1875,-0.6875,-0.8125,0.71875,-0.296296296296296,0.5,-0.9375,0,1.25,1.34375,-0.78125,22.78125,3.6875,NA,NA
"4",-0.666666666666667,-0.375,-0.8125,-1.6875,1.1875,-1.28125,-0.296296296296296,-1.5,2.0625,-1,-1.75,-1.65625,0.21875,2.78125,-1.3125,NA,NA
"4",0.333333333333333,0.625,0.1875,-0.6875,0.1875,-0.28125,0.703703703703704,-0.5,0.0625,-1,-0.75,-0.65625,0.21875,-1.21875,-2.3125,NA,NA
"4",-0.666666666666667,-1.375,0.1875,0.3125,-0.8125,1.71875,-0.296296296296296,0.5,-0.9375,1,0.25,0.34375,-0.78125,-17.21875,0.6875,NA,NA
"4",NA,2.625,2.1875,1.3125,-0.8125,-2.28125,NA,-0.5,-0.9375,1,-0.75,-0.65625,0.21875,-21.21875,-0.3125,NA,NA
"4",-0.666666666666667,0.625,0.1875,1.3125,-0.8125,-0.28125,-0.296296296296296,1.5,-0.9375,0,1.25,1.34375,-0.78125,-25.21875,-1.3125,NA,NA
"4",-0.666666666666667,-1.375,-1.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,23.78125,3.6875,NA,NA
"4",-0.666666666666667,1.625,1.1875,0.3125,2.1875,0.71875,0.703703703703704,0.5,2.0625,0,0.25,0.34375,2.21875,19.78125,2.6875,NA,NA
"4",-0.666666666666667,0.625,1.1875,-0.6875,1.1875,-1.28125,-2.2962962962963,-1.5,1.0625,-2,-1.75,-1.65625,2.21875,7.78125,-0.3125,NA,NA
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,0.71875,-0.296296296296296,0.5,0.0625,0,-0.75,0.34375,0.21875,3.78125,-1.3125,NA,NA
"4",1.33333333333333,-1.375,0.1875,0.3125,3.1875,-0.28125,-0.296296296296296,0.5,0.0625,0,0.25,0.34375,0.21875,-0.21875,-2.3125,NA,NA
"4",1.33333333333333,0.625,0.1875,-1.6875,2.1875,-1.28125,-0.296296296296296,-1.5,1.0625,0,-1.75,-0.65625,1.21875,-4.21875,3.6875,NA,NA
