"","esm.IDnum.w1","esm.PRO01.w1","esm.PRO02.w1","esm.PRO03.w1","esm.startDateTime.w1","esm.PRO04.w1","esm.PRO05.w1","esm.PRO06.w1","esm.PRO07.w1","esm.endDateTime.w1","esm.OR.w1","esm.NQ11.w1","esm.NQ12.w1","esm.EXT.w1","esm.AGR.w1","esm.CON.w1","esm.NEU.w1","esm.NQ11+1.w1","esm.NQ12+1.w1","esm.EXT+1.w1","esm.AGR+1.w1","esm.CON+1.w1","esm.NEU+1.w1","esm.NQ01.w1","esm.BFI37.w1","esm.BFI21.w1","esm.BFI23.w1","esm.BFI09.w1","esm.NQ09.w1","esm.NQ07.w1","esm.BFI04.w1","esm.NQ33.w1","esm.BFI36.w1","esm.BFI32.w1","esm.BFI13.w1","esm.BFI19.w1","esm.BH01.w1","esm.BH02.w1","esm.ACT12.w1","esm.BH03.w1","esm.BH04.w1","esm.BH05.w1","esm.BH06.w1","esm.BH07.w1","esm.ACT13.w1","esm.ACT18.w1","esm.BH08.w1","esm.ACT06.w1","esm.ACT39.w1","esm.ST01.w1","esm.ST02.w1","esm.ST03.w1","esm.ST04.w1","esm.AGQ13.w1","esm.ST06.w1","esm.ST07.w1","esm.ST08.w1","esm.ST09.w1","esm.ST10.w1","esm.ST11.w1","esm.ST12.w1","esm.ST13.w1","esm.ST14.w1","esm.ST15.w1","esm.ST16.w1","esm.ST17.w1","esm.ST18.w1","esm.ST19.w1","esm.ST20.w1","esm.ST21.w1","esm.ST22.w1","esm.ST23.w1","esm.ST24.w1","esm.DY01.w1","esm.DY02.w1","esm.DY03.w1","esm.DY04.w1","esm.DY05.w1","esm.CESD01.w1","esm.CESD02.w1","esm.CESD03.w1","esm.CESD04.w1","esm.CESD05.w1","esm.CESD06.w1","esm.CESD07.w1","esm.CESD08.w1","esm.CESD09.w1","esm.CESD10.w1"
"1",10549,17,1,1,"12/22/13 12:00",13,49,7,1,"12/22/13 12:06","Shoveling snow",2,4,3,2,5,2,NA,NA,NA,NA,NA,NA,3,4,3,1,3,4,2,1,2,2,2,4,1,0,0,0,1,0,0,1,0,0,0,4,2,2,4,2,0,1,1,2,3,3,3,0,0,3,1,NA,NA,5,3,3,3,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",10547,57,1,1,"12/20/13 12:01",15,57,5,0,"12/20/13 12:03","Taking a shower and getting ready for the day.",3,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,3,NA,4,2,5,4,3,1,1,1,NA,3,1,1,0,0,0,0,0,0,0,0,0,3,NA,1,5,3,0,0,4,4,3,3,4,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",10547,57,1,1,"12/19/13 12:19",14,53,4,0,"12/19/13 12:22","Eating breakfast with my mom.",4,2,4,5,5,3,NA,NA,NA,NA,NA,NA,4,2,2,1,3,5,4,1,2,4,5,5,2,1,0,0,0,0,0,1,0,0,0,4,2,3,2,4,0,1,4,4,5,3,4,0,0,2,1,NA,NA,5,4,2,4,4,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",10539,51,1,1,"12/18/13 13:48",14,53,3,0,"12/18/13 13:49","Watching Disney's Frozen.",4,2,2,4,3,3,NA,NA,NA,NA,NA,NA,3,2,5,3,4,3,3,2,2,3,3,3,3,0,0,0,0,0,0,0,0,1,0,2,NA,1,5,4,0,1,1,4,3,3,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",10547,57,1,1,"12/18/13 12:24",13,49,3,0,"12/18/13 12:36","Eating lunch and studying with friends.",5,1,3,5,5,1,NA,NA,NA,NA,NA,NA,4,1,3,2,5,5,5,1,1,3,5,5,1,1,1,0,0,0,0,0,0,0,0,3,2,1,2,5,1,1,5,5,5,2,4,0,0,3,1,NA,NA,5,5,3,2,4,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10549,17,1,1,"12/17/13 13:19",8,29,2,0,"12/17/13 13:21","studying",3,3,2,NA,3,2,NA,NA,NA,NA,NA,NA,3,NA,4,3,3,4,3,1,3,2,NA,3,1,0,1,0,0,0,0,0,0,0,0,5,NA,2,2,2,0,0,3,3,3,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",10539,51,1,1,"12/17/13 13:02",13,49,2,0,"12/17/13 13:04","Watching Netflix",5,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,4,NA,3,4,5,4,4,2,3,2,NA,3,2,1,0,0,0,0,0,0,0,1,0,2,NA,1,5,5,0,0,1,3,2,3,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",10549,17,1,1,"12/16/13 12:31",7,25,1,0,"12/16/13 12:33","studying",4,3,4,4,4,2,NA,NA,NA,NA,NA,NA,4,2,2,3,4,4,4,2,2,4,3,4,2,0,1,0,1,0,0,0,0,0,0,3,3,2,4,3,0,1,3,4,4,2,3,0,0,2,1,NA,NA,5,5,3,3,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10547,57,1,1,"12/16/13 12:09",11,41,1,0,"12/16/13 12:11","Studying with friends.",4,3,4,4,4,3,NA,NA,NA,NA,NA,NA,4,2,3,2,3,4,3,1,1,4,4,4,3,0,1,0,1,0,0,0,0,0,0,4,2,2,4,3,0,1,5,4,4,2,3,0,0,3,1,NA,NA,5,5,3,3,4,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10526,36,1,1,"12/16/13 12:01",14,53,1,0,"12/16/13 12:03","Studying for finals",4,2,4,4,4,3,NA,NA,NA,NA,NA,NA,3,2,3,2,3,5,4,1,2,4,4,4,3,1,1,0,0,0,0,0,0,0,0,4,3,3,4,3,0,1,5,4,4,3,4,0,0,4,1,NA,NA,5,5,3,2,4,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
