"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"1",40,1,1,1,1,5,3,2,3,1,3,3,2,1,1,1.0625,4.025,2.625,3.775,1.85,2.225,3.625,3.7,2.275
"2",15,1,1,1,1,3,3,5,1,2,4,4,1,1,2,1.25,3.33333333333333,3.66666666666667,3.73333333333333,2.13333333333333,2.93333333333333,4.28571428571429,3.46666666666667,2.66666666666667
"4",32,1,1,1,1,3,3,4,2,2,4,4,1,1,3,1.66666666666667,2.375,2.8125,3.6875,1.8125,3.28125,3.2962962962963,3.5,1.9375
"6",11,1,1,1,1,3,3,3,1,3,3,5,4,1,5,1,3.90909090909091,3.54545454545455,3.45454545454545,1.81818181818182,2.09090909090909,3.33333333333333,3.72727272727273,2.81818181818182
"8",52,1,1,1,1,4,1,3,1,3,2,5,2,1,7,1,4.15384615384615,2.53846153846154,3.48076923076923,1.65384615384615,2.44230769230769,2.9,4,1.98076923076923
"11",28,1,1,1,1,3,2,3,1,3,3,5,3,1,9,1.04,3.10714285714286,1.89285714285714,3.21428571428571,1.10714285714286,2.57142857142857,2.68,2.75,2.07142857142857
"12",26,1,1,1,1,4,2,3,3,3,4,5,2,1,10,1.85,3.03846153846154,2.76923076923077,3.23076923076923,2.84615384615385,3.11538461538462,3.5,3.76923076923077,2.34615384615385
"17",54,1,1,1,1,5,4,5,1,3,2,5,1,1,11,1.34090909090909,2.68518518518519,2.62962962962963,3.46296296296296,1.2962962962963,3.44444444444444,3.22727272727273,4.22222222222222,1.51851851851852
"19",40,1,1,1,1,3,2,4,1,2,2,4,1,1,13,1.88235294117647,3,2.8,3.7,2,3.175,3.61764705882353,3.5,2.175
"35",56,1,1,1,2,4,3,3,2,2,4,4,2,1,21,1.86666666666667,3.57142857142857,2.01785714285714,3.53571428571429,2.08928571428571,2.53571428571429,4.06818181818182,4.05357142857143,2.75
"40",44,1,1,1,2,3,2,3,2,2,1,2,3,1,24,1.975,3.97727272727273,3.68181818181818,2.59090909090909,2.06818181818182,1.36363636363636,1.125,1.70454545454545,2.84090909090909
"41",24,1,1,1,1,3,1,4,1,3,3,5,2,1,25,1.41176470588235,2.625,2.08333333333333,4.04166666666667,1.54166666666667,2.83333333333333,3.70588235294118,3.5,2.125
"47",23,1,1,1,1,4,2,5,1,4,3,5,1,1,29,1.06666666666667,3.26086956521739,2.26086956521739,3.52173913043478,1.65217391304348,2.73913043478261,3.13333333333333,4,1.69565217391304
"48",38,1,1,1,1,4,5,4,1,1,1,5,2,1,30,1.5,3.47368421052632,2.57894736842105,3.57894736842105,1.21052631578947,2.52631578947368,3.03333333333333,3.55263157894737,1.47368421052632
"49",20,1,1,1,1,2,1,2,2,2,2,2,2,1,31,1.55,2.35,2.3,2.75,2,2.75,2.6,3.2,2.35
"54",45,1,1,1,1,4,1,3,1,2,3,5,1,1,35,1.02702702702703,3.26666666666667,1.17777777777778,3.62222222222222,1.02222222222222,2.82222222222222,4.05405405405405,4.4,1.31111111111111
"57",26,1,1,1,1,4,2,5,1,1,2,4,2,1,37,1.30434782608696,3.26923076923077,3.03846153846154,4.15384615384615,1.23076923076923,3.34615384615385,3.91304347826087,3.5,1.73076923076923
"60",33,1,1,1,1,4,3,3,2,3,4,4,1,1,39,1.70967741935484,3.57575757575758,2.24242424242424,2.6969696969697,1.96969696969697,2.57575757575758,3.67741935483871,3.78787878787879,2.3030303030303
"62",27,1,1,1,3,2,3,2,2,4,4,3,2,1,41,1.57894736842105,3.62962962962963,2.85185185185185,3.62962962962963,2,2.51851851851852,3.73684210526316,3.59259259259259,1.96296296296296
"64",34,1,1,1,2,3,3,3,2,3,3,4,3,1,42,2.1875,2.76470588235294,2.64705882352941,2.97058823529412,1.97058823529412,3.05882352941176,2.9375,3.32352941176471,3.26470588235294
"68",14,1,1,1,1,5,2,4,2,1,3,5,2,1,43,1,2.85714285714286,2.21428571428571,3.5,1.57142857142857,2.92857142857143,3.92857142857143,3.57142857142857,1.78571428571429
"70",18,1,1,1,1,4,1,3,1,3,3,5,1,1,45,1.07692307692308,2.64705882352941,1.76470588235294,3.47058823529412,1.11764705882353,3.64705882352941,3.84615384615385,4.64705882352941,1.29411764705882
"71",25,1,1,1,1,1,1,2,2,3,3,4,5,1,46,1.22727272727273,2.64,2,2.24,2.8,3,3.95454545454545,4.44,4.16
"86",46,1,1,1,1,3,3,4,1,4,3,4,2,1,56,1.44117647058824,3.30434782608696,2.93478260869565,2.84782608695652,1.5,2.47826086956522,2.94285714285714,3.58695652173913,2.54347826086957
"89",54,1,1,1,1.8,4,4,4,1,2,3.54,2,4,1,59,1.8,2.94444444444444,2.90740740740741,3.59259259259259,2.5,3.14814814814815,3.54,3.31481481481481,2.7037037037037
"93",25,1,1,1,1,2,1,5,1,3,3,4,1,1,63,1,2.84,1.76,4.56,1,3.6,4.16666666666667,4.44,1.28
"94",45,1,1,1,1.23809523809524,4,1,3,2,1,4.09523809523809,4,2,1,64,1.23809523809524,3.57777777777778,1.68888888888889,3.4,1.33333333333333,2.48888888888889,4.09523809523809,4.37777777777778,1.93333333333333
"95",29,1,1,1,1,1,5,3,1,5,4,2,4,1,65,2.66666666666667,3.17241379310345,4.24137931034483,2.27586206896552,2.3448275862069,2.75862068965517,3.18518518518519,2.24137931034483,4.06896551724138
"97",48,1,1,1,1,3,1,5,1,4,5,4,1,1,66,1.31034482758621,3.22916666666667,1.8125,4.35416666666667,1.75,2.77083333333333,4.62068965517241,4.97916666666667,1.60416666666667
"10108",32,1,1,2,1,2,1,3,1,4,4,4,1,1,76,1.8,2.96875,2.40625,3.9375,1.46875,3,3.1,3.375,1.9375
"10110",12,1,1,1,1,3,4,3,2,3,3,4,2,1,78,1.59504132231405,2.81818181818182,2.81818181818182,3.27272727272727,1.45454545454545,3,3,3.36363636363636,2
"10112",41,1,1,2,3,4,3,5,3,2,3,3,3,1,80,2.21416666666667,3.375,2.9,3.8,3.25,2.3,4.205,3.775,2.325
"10121",26,1,1,1,1,4,3,5,1,3,3,3,1,1,86,1.16,3.15384615384615,2.42307692307692,3.19230769230769,1.5,3.03846153846154,4.08,4.46153846153846,2.11538461538462
