"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave"
"8",44,1,1,0,1,3,1,3,3,3,3,5,2,"4"
"8",44,1,1,1,1,3,1,2,3,3,2,4,2,"4"
"8",44,2,1,2,1,1,1,1,3,2,3,5,3,"4"
"8",44,3,1,3,2,5,1,3,2,2,3,5,3,"4"
"8",44,1,2,5,1.0625,3,5,4,2,1,2.85,2,3,"4"
"8",44,3,2,7,1,2,1,3,2,3,4,4,1,"4"
"8",44,1,3,9,1,3,1,4,2,4,3,5,1,"4"
"8",44,2,3,10,1,2,2,4,2,3,4,4,2,"4"
"8",44,3,3,11,1,4,2,3,3,2,3,4,2,"4"
"8",44,4,3,12,2,1,2,3,2,3,4,4,3,"4"
"8",44,1,4,13,2,3,3,3,2,2,2,3,3,"4"
"8",44,2,4,14,1.0625,5,1,3,2,1,2.85,5,2,"4"
"8",44,3,4,15,1.0625,5,2,2,2,2,2.85,2,3,"4"
"8",44,1,5,17,1,4,1,3,2,3,3,4,3,"4"
"8",44,2,5,18,1,4,3,2,2,1,2,2,3,"4"
"8",44,3,5,19,1,3,1,2,1,3,3,5,2,"4"
"8",44,4,5,20,1,2,1,4,1,5,3,4,2,"4"
"8",44,1,6,21,1,2,3,3,2,4,3,3,3,"4"
"8",44,2,6,22,1,4,3,3,2,3,3,3,3,"4"
"8",44,3,6,23,1.0625,5,3,3,3,2,2.85,2,4,"4"
"8",44,4,6,24,1.0625,5,2,3,3,1,2.85,3,3,"4"
"8",44,1,7,25,2,2,1,3,3,2,3,4,3,"4"
"8",44,2,7,26,1,5,1,4,2,1,3,4,2,"4"
"8",44,3,7,27,1.0625,5,1,3,2,3,2.85,5,2,"4"
"8",44,1,8,29,1,2,2,3,3,4,3,3,2,"4"
"8",44,2,8,30,1.0625,5,4,2,2,1,2.85,2,4,"4"
"8",44,3,8,31,1,3,3,3,3,3,3,3,3,"4"
"8",44,1,9,33,2,4,1,3,2,1,2,5,2,"4"
"8",44,2,9,34,1,1,1,3,3,4,3,5,4,"4"
"8",44,1,10,37,1,5,2,5,2,1,2,5,1,"4"
"8",44,3,10,39,1,5,1,2,2,2,4,5,3,"4"
"8",44,1,11,41,1.0625,5,1,3,2,1,2.85,4,2,"4"
"8",44,2,11,42,1,5,3,5,2,3,3,4,2,"4"
"8",44,4,11,44,2,5,1,2,1,2,3,5,4,"4"
"8",44,1,12,45,1,4,1,4,3,3,3,4,3,"4"
"8",44,2,12,46,1,5,1,2,5,1,2,5,4,"4"
"8",44,3,12,47,2,1,1,3,1,4,3,5,2,"4"
"8",44,4,12,48,2,1,1,3,4,3,3,5,4,"4"
"8",44,1,13,49,3,5,1,2,2,2,2,5,3,"4"
"8",44,2,13,50,2,5,1,2,3,2,2,5,4,"4"
"8",44,3,13,51,1,5,1,1,3,1,2,5,3,"4"
"8",44,1,14,53,1.0625,2,1,3,3,2,2.85,5,3,"4"
"8",44,1,15,57,1,2,1,1,1,3,3,5,2,"4"
"8",44,2,15,58,1,1,1,3,2,5,4,5,3,"4"
"17",170,2,1,2,2,1,1,4,1,4,3,5,2,"4"
"17",170,2,3,10,1,3,3,3,2,3,4,5,2,"4"
"17",170,3,3,11,1,2,1,2,1,4,5,5,3,"4"
"17",170,4,3,12,1,4,1,2,2,2,1,4,1,"4"
"17",170,2,4,14,1,3,1,3,2,3,2,4,3,"4"
"17",170,3,4,15,1.0625,5,3,4,1,2,2.85,4,1,"4"
"17",170,4,4,16,1.0625,5,5,5,1,1,2.85,1,1,"4"
"17",170,1,5,17,1,3,3,3,1,4,5,4,1,"4"
"17",170,2,5,18,1,4,5,4,2,3,4,2,3,"4"
"17",170,3,5,19,1,2,3,3,1,5,4,5,1,"4"
"17",170,4,5,20,1.0625,5,1,4,1,1,2.85,4,2,"4"
"17",170,1,6,21,2,2,1,5,1,5,4,5,1,"4"
"17",170,2,6,22,1,2,1,3,1,5,4,5,3,"4"
"17",170,3,6,23,1.0625,1,4,4,1,5,2.85,5,1,"4"
"17",170,4,6,24,2,1,1,3,1,5,2,3,2,"4"
"17",170,1,7,25,1,3,2,4,2,3,2,5,2,"4"
"17",170,2,7,26,1,4,3,4,1,2,1,5,2,"4"
"17",170,3,7,27,1,1,1,3,1,5,3,5,2,"4"
"17",170,4,7,28,1,3,4,2,4,3,1,3,4,"4"
"17",170,1,8,29,1,2,2,4,1,5,3,5,2,"4"
"17",170,2,8,30,1,5,1,5,1,1,1,5,1,"4"
"17",170,3,8,31,1,1,1,4,1,4,1,4,1,"4"
"17",170,4,8,32,2,1,1,4,1,5,3,3,2,"4"
"17",170,1,9,33,2,1,3,4,1,5,3,5,1,"4"
"17",170,2,9,34,1,4,1,4,1,2,3,5,1,"4"
"17",170,3,9,35,1,1,2,4,1,5,3,3,2,"4"
"17",170,4,9,36,1,5,1,4,1,3,5,5,2,"4"
"17",170,1,10,37,1,2,2,4,2,2,4,5,2,"4"
"17",170,2,10,38,1.0625,5,1,3,1,1,2.85,5,1,"4"
"17",170,3,10,39,1,2,1,4,1,4,3,3,2,"4"
"17",170,4,10,40,3,3,2,3,1,3,3,4,1,"4"
"17",170,1,11,41,2,2,5,4,1,4,3,3,2,"4"
"17",170,2,11,42,1,2,1,4,1,4,4,5,1,"4"
"17",170,3,11,43,1,3,4,3,1,4,1,3,3,"4"
"17",170,4,11,44,1.0625,5,2,5,1,1,2.85,4,1,"4"
"17",170,2,12,46,1,3,4,3,1,4,1,3,4,"4"
"17",170,3,12,47,2,1,1,5,1,5,5,4,1,"4"
"17",170,4,12,48,1.0625,5,3,3,2,1,2.85,4,3,"4"
"17",170,1,13,49,3,3,2,3,2,3,2,3,2,"4"
"17",170,2,13,50,1,2,2,3,1,4,3,5,3,"4"
"17",170,3,13,51,3,3,4,3,2,3,3,3,2,"4"
"17",170,4,13,52,1.0625,5,5,5,1,1,2.85,3,2,"4"
"17",170,1,14,53,1,5,3,3,1,2,2,5,1,"4"
"17",170,2,14,54,1,5,3,3,1,4,4,4,1,"4"
"17",170,3,14,55,1,2,1,1,1,4,4,4,3,"4"
"17",170,4,14,56,2,3,4,2,3,3,2,4,3,"4"
"17",170,1,15,57,1.0625,3,4,4,1,4,2.85,4,2,"4"
"17",170,2,15,58,1,2,5,4,1,4,5,5,3,"4"
"17",170,3,15,59,1.0625,4,1,3,2,3,2.85,5,2,"4"
"17",170,4,15,60,1,3,3,4,1,4,3,3,3,"4"
"17",170,1,16,61,1,2,1,4,1,5,4,5,1,"4"
"17",170,2,16,62,2,4,3,4,1,5,2,3,2,"4"
"17",170,3,16,63,1.0625,4,1,2,1,1,2.85,4,3,"4"
"17",170,4,16,64,3,4,5,3,1,4,2,5,1,"4"
"17",170,1,17,65,2,2,1,4,1,4,3,5,2,"4"
"17",170,2,17,66,1.0625,3,2,3,1,3,2.85,3,2,"4"
"17",170,3,17,67,1.0625,2,2,3,1,4,2.85,3,2,"4"
"17",170,4,17,68,1,5,1,1,1,2,3,5,2,"4"
"17",170,2,18,70,2,3,3,3,2,3,2,4,3,"4"
"17",170,4,18,72,1,1,1,2,1,5,4,5,2,"4"
"17",170,1,19,73,2,2,5,5,1,3,2,2,3,"4"
"17",170,2,19,74,1,2,3,4,1,5,2,3,2,"4"
"17",170,3,19,75,1,3,4,4,1,3,2,3,2,"4"
"17",170,4,19,76,3,3,2,4,1,4,2,4,2,"4"
"17",170,1,20,77,2,4,2,4,1,3,2,5,2,"4"
"17",170,2,20,78,1,2,1,3,1,4,3,5,5,"4"
"17",170,3,20,79,2,3,4,3,2,3,2,2,2,"4"
