"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried"
"8",44,1,1,0,1,3,1,3,3,3,3,5,2
"8",44,1,1,1,1,3,1,2,3,3,2,4,2
"8",44,2,1,2,1,1,1,1,3,2,3,5,3
"8",44,3,1,3,2,5,1,3,2,2,3,5,3
"8",44,1,2,5,1.0625,3,5,4,2,1,2.82352941176471,2,3
"8",44,3,2,7,1,2,1,3,2,3,4,4,1
"8",44,1,3,9,1,3,1,4,2,4,3,5,1
"8",44,2,3,10,1,2,2,4,2,3,4,4,2
"8",44,3,3,11,1,4,2,3,3,2,3,4,2
"8",44,4,3,12,2,1,2,3,2,3,4,4,3
"8",44,1,4,13,2,3,3,3,2,2,2,3,3
"8",44,2,4,14,1.0625,5,1,3,2,1,2.82352941176471,5,2
"8",44,3,4,15,1.0625,5,2,2,2,2,2.82352941176471,2,3
"8",44,1,5,17,1,4,1,3,2,3,3,4,3
"8",44,2,5,18,1,4,3,2,2,1,2,2,3
"8",44,3,5,19,1,3,1,2,1,3,3,5,2
"8",44,4,5,20,1,2,1,4,1,5,3,4,2
"8",44,1,6,21,1,2,3,3,2,4,3,3,3
"8",44,2,6,22,1,4,3,3,2,3,3,3,3
"8",44,3,6,23,1.0625,5,3,3,3,2,2.82352941176471,2,4
"8",44,4,6,24,1.0625,5,2,3,3,1,2.82352941176471,3,3
"8",44,1,7,25,2,2,1,3,3,2,3,4,3
"8",44,2,7,26,1,5,1,4,2,1,3,4,2
"8",44,3,7,27,1.0625,5,1,3,2,3,2.82352941176471,5,2
"8",44,1,8,29,1,2,2,3,3,4,3,3,2
"8",44,2,8,30,1.0625,5,4,2,2,1,2.82352941176471,2,4
"8",44,3,8,31,1,3,3,3,3,3,3,3,3
"8",44,1,9,33,2,4,1,3,2,1,2,5,2
"8",44,2,9,34,1,1,1,3,3,4,3,5,4
"8",44,1,10,37,1,5,2,5,2,1,2,5,1
"8",44,3,10,39,1,5,1,2,2,2,4,5,3
"8",44,1,11,41,1.0625,5,1,3,2,1,2.82352941176471,4,2
"8",44,2,11,42,1,5,3,5,2,3,3,4,2
"8",44,4,11,44,2,5,1,2,1,2,3,5,4
"8",44,1,12,45,1,4,1,4,3,3,3,4,3
"8",44,2,12,46,1,5,1,2,5,1,2,5,4
"8",44,3,12,47,2,1,1,3,1,4,3,5,2
"8",44,4,12,48,2,1,1,3,4,3,3,5,4
"8",44,1,13,49,3,5,1,2,2,2,2,5,3
"8",44,2,13,50,2,5,1,2,3,2,2,5,4
"8",44,3,13,51,1,5,1,1,3,1,2,5,3
"8",44,1,14,53,1.0625,2,1,3,3,2,2.82352941176471,5,3
"8",44,1,15,57,1,2,1,1,1,3,3,5,2
"8",44,2,15,58,1,1,1,3,2,5,4,5,3
"17",170,2,1,2,2,1,1,4,1,4,3,5,2
"17",170,2,3,10,1,3,3,3,2,3,4,5,2
"17",170,3,3,11,1,2,1,2,1,4,5,5,3
"17",170,4,3,12,1,4,1,2,2,2,1,4,1
"17",170,2,4,14,1,3,1,3,2,3,2,4,3
"17",170,3,4,15,1.0625,5,3,4,1,2,2.82352941176471,4,1
"17",170,4,4,16,1.0625,5,5,5,1,1,2.82352941176471,1,1
"17",170,1,5,17,1,3,3,3,1,4,5,4,1
"17",170,2,5,18,1,4,5,4,2,3,4,2,3
"17",170,3,5,19,1,2,3,3,1,5,4,5,1
