"","esm.IDnum.w1","esm.PRO01.w1","esm.PRO03.w1","esm.PRO04.w1","esm.PRO05.w1","esm.BFI37.w1","esm.BFI21.w1","esm.BFI23.w1","esm.BFI09.w1","esm.BFI04.w1","esm.BFI36.w1","esm.BFI32.w1","esm.BFI13.w1","esm.BFI19.w1"
"1",21655,17,1,13,49,4,3,1,3,1,2,2,4,1
"2",78053,57,1,15,57,NA,4,2,5,1,1,NA,3,1
"3",78053,57,1,14,53,2,2,1,3,1,4,5,5,2
"4",77137,51,1,14,53,2,5,3,4,2,3,3,3,3
"5",78053,57,1,13,49,1,3,2,5,1,3,5,5,1
"6",21655,17,1,8,29,NA,4,3,3,1,2,NA,3,1
"7",77137,51,1,13,49,NA,3,4,5,2,2,NA,3,2
"8",21655,17,1,7,25,2,2,3,4,2,4,3,4,2
"9",78053,57,1,11,41,2,3,2,3,1,4,4,4,3
"10",51790,36,1,14,53,2,3,2,3,1,4,4,4,3
"11",78053,57,1,10,37,1,4,1,3,1,3,4,4,2
"12",77137,51,1,10,37,3,3,2,1,3,2,3,4,5
"13",78053,57,1,9,33,NA,5,1,2,2,1,NA,4,4
"14",77137,51,1,9,33,2,5,1,2,3,2,2,4,4
"15",78053,57,1,8,29,1,5,1,3,1,1,4,5,2
"16",51790,36,1,11,41,1,5,2,3,1,1,2,4,3
"17",77137,51,1,8,29,NA,3,2,3,3,2,NA,4,2
"18",78053,57,1,7,25,1,5,1,1,2,1,1,5,3
"19",61687,12,1,10,37,1,3,1,3,1,4,4,5,3
"20",21655,17,1,2,5,1,2,1,2,1,5,3,3,2
"21",78053,57,1,6,21,1,5,1,3,1,2,4,5,1
"22",77137,51,1,7,25,NA,4,2,2,4,2,NA,5,4
"23",77137,51,1,6,21,NA,3,2,3,2,3,NA,4,3
"24",17588,20,1,9,33,1,4,1,3,1,3,3,4,2
"25",78053,57,1,5,17,NA,5,1,1,3,1,NA,4,4
"26",11260,25,1,8,29,NA,5,5,4,3,1,NA,2,2
"27",77137,51,1,5,17,NA,3,3,3,4,2,NA,5,3
"28",30564,17,1,15,57,2,4,4,3,2,1,2,2,2
"29",78053,57,1,4,13,1,3,2,3,1,3,5,5,3
"30",77137,51,1,4,13,NA,5,5,4,2,1,NA,2,2
"31",11260,25,1,7,25,NA,5,5,4,2,1,NA,2,2
"32",16461,20,1,14,53,2,3,2,3,1,3,3,3,2
"33",44257,44,1,14,53,1,2,2,5,1,4,3,3,1
"34",30564,17,1,14,53,2,3,3,4,2,3,3,4,2
"35",78053,57,1,3,9,1,5,2,4,2,3,3,4,1
"36",51790,36,1,5,17,2,2,1,5,1,5,3,3,1
"37",44257,44,1,13,49,NA,2,3,5,1,4,NA,4,2
"38",77137,51,1,3,9,NA,5,5,5,2,1,NA,2,1
"39",564,46,1,15,57,NA,3,5,5,1,1,NA,4,1
"40",78053,57,1,2,5,NA,5,2,4,1,1,NA,3,1
"41",11260,25,1,6,21,NA,5,5,4,2,1,NA,2,1
"42",17588,20,1,5,17,1,3,2,3,1,3,3,3,3
"43",70573,55,1,15,57,NA,5,4,3,1,1,NA,2,2
"44",77137,51,1,2,5,1,4,5,4,1,1,3,3,1
"45",68513,7,1,2,5,1,2,3,3,1,3,3,3,1
"46",30564,17,1,12,45,2,2,2,2,2,3,2,3,3
"47",74950,13,1,5,17,1,3,3,4,1,4,4,4,1
"48",11260,25,1,5,17,1,2,2,4,1,5,3,4,1
"49",98863,13,1,15,57,1,2,2,4,1,4,4,5,1
"50",8608,19,1,14,53,1,3,1,3,1,3,4,4,3
"51",24827,41,1,13,49,2,4,3,2,3,2,2,2,3
"52",16461,20,1,11,41,2,3,2,3,1,3,4,4,2
"53",30564,17,1,11,41,2,2,2,4,2,3,3,3,2
"54",70573,55,1,14,53,NA,5,4,4,2,1,NA,3,1
"55",11260,25,1,4,13,2,5,2,2,1,1,4,2,4
"56",287,27,1,14,53,NA,5,3,3,1,1,NA,3,2
"57",34967,23,1,15,57,2,2,1,4,1,2,3,3,3
