"esm.IDnum.w7","esm.PRO01.w7","esm.PRO03.w7","esm.PRO04.w7","esm.PRO05.w7","esm.BFI37.w7","esm.BFI21.w7","esm.BFI23.w7","esm.BFI09.w7","esm.BFI04.w7","esm.BFI36.w7","esm.BFI32.w7","esm.BFI13.w7","esm.BFI19.w7"
95555,3,1,1,1,1,3,2,3,1,3,4,4,2
95555,3,1,7,25,NA,4,2,3,1,2,NA,3,2
95555,3,1,10,37,NA,4,3,3,1,1,NA,4,3
97938,18,2,1,2,2,5,3,3,3,2,5,3,2
97938,18,4,1,4,2,5,2,2,2,3,3,3,2
97938,18,1,2,5,1,4,2,3,2,2,4,4,2
97938,18,4,2,8,1,5,4,3,3,2,3,3,3
97938,18,1,3,9,1,3,4,4,2,4,4,3,2
97938,18,4,3,12,NA,5,3,4,2,1,NA,3,1
97938,18,1,4,13,1,3,2,4,2,3,4,3,2
97938,18,1,5,17,NA,5,5,4,2,2,NA,3,2
97938,18,4,5,20,2,3,2,3,2,3,4,3,2
97938,18,1,6,21,2,2,2,4,2,5,4,3,2
97938,18,4,6,24,NA,5,4,3,3,1,NA,2,2
97938,18,1,7,25,NA,5,5,3,4,1,NA,2,4
97938,18,4,7,28,1,2,2,4,2,4,4,3,2
97938,18,1,8,29,2,1,2,5,1,5,4,4,2
97938,18,1,10,37,2,2,2,4,2,4,4,4,2
97938,18,4,10,40,2,4,3,4,2,2,3,3,2
97938,18,1,14,53,1,2,2,3,2,4,4,4,3
97938,18,4,16,64,3,4,4,3,4,2,2,2,2
9006,17,1,1,1,3,2,2,3,2,4,5,4,2
9006,17,1,2,5,1,4,3,3,2,2,3,3,3
9006,17,4,2,8,2,5,4,3,2,1,3,3,3
9006,17,1,3,9,1,4,2,4,1,3,3,4,2
9006,17,4,3,12,1,5,3,3,1,1,2,3,3
9006,17,1,4,13,1,4,3,3,1,3,3,3,2
9006,17,1,5,17,1,5,4,5,1,2,3,3,1
9006,17,1,7,25,1,4,1,4,1,3,3,4,1
9006,17,1,8,29,2,2,3,5,2,4,5,5,1
9006,17,4,8,32,1,1,2,4,1,5,3,5,1
9006,17,1,9,33,1,2,2,5,1,5,3,4,1
9006,17,4,9,36,1,5,5,3,3,2,1,1,2
9006,17,1,10,37,1,5,1,3,1,1,1,5,2
9006,17,4,10,40,2,5,3,4,2,3,2,2,2
9006,17,1,11,41,1,4,4,4,1,2,1,3,1
9006,17,1,12,45,1,5,5,4,1,2,1,4,1
9006,17,1,14,53,1,4,2,5,1,3,5,4,1
89450,8,2,1,2,2,4,2,4,2,2,5,3,2
89450,8,4,1,4,2,2,3,3,3,3,4,2,2
89450,8,1,2,5,2,3,2,3,2,2,2,4,4
89450,8,1,3,9,2,4,2,4,2,2,2,4,2
89450,8,4,3,12,2,2,4,4,2,4,3,3,2
89450,8,1,4,13,2,4,2,4,1,2,3,4,1
89450,8,1,6,21,2,3,2,4,2,4,3,3,2
89450,8,1,8,29,2,4,3,4,2,2,3,3,2
7287,14,1,1,0,3,2,2,3,2,4,1,5,3
7287,14,4,1,4,1,5,4,1,5,1,2,3,5
7287,14,1,2,5,1,5,2,1,2,2,3,2,4
7287,14,4,2,8,NA,5,2,3,2,2,NA,3,2
7287,14,1,3,9,1,3,2,2,4,2,3,3,4
7287,14,1,4,13,1,5,3,2,2,2,4,2,3
7287,14,4,4,16,NA,5,2,2,2,1,NA,3,2
7287,14,1,5,17,1,3,2,2,1,2,2,3,3
7287,14,4,5,20,NA,5,1,4,3,2,NA,2,1
7287,14,1,6,21,1,2,3,4,1,2,2,3,2
7287,14,4,6,24,NA,5,2,2,2,1,NA,1,1
7287,14,1,7,25,NA,5,3,2,1,2,NA,5,1
7287,14,4,7,28,1,3,4,2,1,3,2,4,2
7287,14,1,8,29,1,4,2,1,1,1,3,3,3
